OBJECTID,CVE_ENT,CVE_MUN,NOM_MUN,OID_1,cov_,cov_id,Shape_Length,Shape_Area
1,20,128,San Cristobal Lachirioag,990,990,991,0.218843933670621,0.001432149531438
2,20,156,San Ildefonso Villa Alta,991,991,992,0.661511027456238,0.007986865269751
3,20,138,San Francisco Cajonos,996,996,997,0.400070903098784,0.003793531369294
4,20,303,San Pedro Cajonos,997,997,998,0.070094296298157,0.000238966873513
5,20,337,San Pedro y San Pablo Ayutla,999,999,1000,0.729913125141899,0.014569673617218
6,20,031,Tamazulapam del Espiritu Santo,1000,1000,1001,0.750712126309419,0.009503502969365
7,20,206,San Juan de los Cues,1001,1001,1002,0.470310865659512,0.010198502253106
8,20,163,San Jeronimo Tecoatl,1014,1014,1015,0.230809703570326,0.001521853262637
9,20,142,San Francisco Huehuetlan,1021,1021,1022,0.186398917296220,0.001217962094883
10,20,041,Huautla de Jimenez,1029,1029,1030,0.722277501749124,0.012633492135686
11,20,040,Huautepec,1030,1030,1031,0.318729445609804,0.004012452033332
12,20,038,Villa Hidalgo,1031,1031,1032,0.349752281138423,0.005009711133435
13,20,027,Chiquihuitlan de Benito Juarez,1033,1033,1034,0.238499931770260,0.003069890992800
14,20,019,Concepcion Papalo,1034,1034,1035,0.698518853263666,0.014801557622765
15,20,009,Ayotzintepec,1037,1037,1038,0.753673510756286,0.013418242635290
16,20,003,Asuncion Cacalotepec,1039,1039,1040,0.383814687217020,0.006476594999276
17,20,002,Acatlan de Perez Figueroa,1040,1040,1041,2.102075826887291,0.064537644404907
18,20,001,Abejones,1041,1041,1042,0.634317351571846,0.010750309057331
19,20,354,Santa Ana Ateixtlahuaca,1046,1046,1047,0.188299809538596,0.001283965515976
20,20,322,San Pedro Ocopetatillo,1057,1057,1058,0.100100695172275,0.000563430066609
21,20,249,San Mateo Yoloxochitlan,1087,1087,1088,0.107567888747477,0.000607774734691
22,20,244,San Martin Toxpalan,1089,1089,1090,0.357162224126512,0.005472116904351
23,20,234,San Lucas Zoquiapam,1093,1093,1094,0.361727269780127,0.005544918577329
24,20,228,San Lorenzo Cuaunecuiltitla,1095,1095,1096,0.207208667969243,0.000783515230789
25,20,434,Santa Maria Teopoxco,1125,1125,1126,0.282742161704417,0.003136980484567
26,20,396,Santa Maria la Asuncion,1141,1141,1142,0.149753649350171,0.000648178695488
27,20,374,Santa Cruz Acatepec,1151,1151,1152,0.159094442983418,0.000606009096290
28,20,559,San Juan Bautista Valle Nacional,1155,1155,1156,1.587703076486610,0.058324759956284
29,20,554,Totontepec Villa de Morelos,1156,1156,1157,0.816358148461564,0.022661625730939
30,20,541,Tanetze de Zaragoza,1157,1157,1158,0.200455891247577,0.001910664725764
31,20,522,Santo Domingo Xagacia,1162,1162,1163,0.354732808519496,0.004792914174440
32,20,517,Santo Domingo Tepuxtepec,1163,1163,1164,0.678046429073341,0.009632116241620
33,20,514,Santo Domingo Roayaga,1164,1164,1165,0.406203732536134,0.004781355254141
34,20,513,Santo Domingo Petapa,1165,1165,1166,0.994895230909602,0.028801030179143
35,20,508,Santo Domingo Chihuitan,1168,1168,1169,0.462743938688299,0.006018005200355
36,20,506,Santo Domingo Albarradas,1169,1169,1170,0.297978543559532,0.003699304110085
37,20,503,Santiago Zoochila,1171,1171,1172,0.128961329076452,0.000697720262015
38,20,502,Santiago Zacatepec,1172,1172,1173,0.664141350988289,0.018093653425562
39,20,498,Santiago Yaveo,1173,1173,1174,2.953448912487279,0.087140520834089
40,20,473,Santiago Laxopa,1175,1175,1176,0.626052250516337,0.009962147873280
41,20,471,Santiago Lalopa,1177,1177,1178,0.213709647777052,0.002177585345504
42,20,468,Santiago Jocotepec,1178,1178,1179,1.371323754496891,0.052695124023301
43,20,465,Santiago Ixcuintepec,1179,1179,1180,0.521073190767669,0.010355221446808
44,20,458,Santiago Comaltepec,1180,1180,1181,1.063938756587274,0.017376924079839
45,20,457,Santiago Camotlan,1181,1181,1182,1.043776427879359,0.026556620116227
46,20,454,Santiago Atitlan,1182,1182,1183,0.455267786800166,0.006011416289590
47,20,442,Santa Maria Yalina,1183,1183,1184,0.318126646324366,0.004099939135351
48,20,438,Santa Maria Tlalixtac,1187,1187,1188,0.276601679221342,0.002057290138009
49,20,437,Santa Maria Tlahuitoltepec,1188,1188,1189,0.726441085084725,0.012995975272230
50,20,435,Santa Maria Tepantlali,1189,1189,1190,0.470603760052296,0.007166153139511
51,20,432,Santa Maria Temaxcalapa,1190,1190,1191,0.191618676409877,0.001121106767392
52,20,425,Santa Maria Papalo,1192,1192,1193,0.454060553725033,0.004754192213498
53,20,417,Santa Maria Jacatepec,1196,1196,1197,1.565723177096951,0.027642252751504
54,20,412,Santa Maria Guienagati,1197,1197,1198,1.218534104652084,0.032986058214939
55,20,406,Santa Maria Chilchotla,1200,1200,1201,1.348961176396918,0.024230326012885
56,20,394,Santa Maria Alotepec,1201,1201,1202,0.710755764261108,0.008364088594172
57,20,359,Santa Ana Yareni,1207,1207,1208,0.294070409296759,0.003943022363968
58,20,355,Santa Ana Cuauhtemoc,1209,1209,1210,0.260477527576070,0.003520856031752
59,20,139,San Francisco Chapulapa,1211,1211,1212,0.526305725219504,0.005325238341429
60,20,336,San Pedro Yolox,1215,1215,1216,0.923001715636279,0.014080159697488
61,20,335,San Pedro Yaneri,1216,1216,1217,0.323127278617248,0.002393545966719
62,20,330,San Pedro Teutila,1218,1218,1219,0.814949428720874,0.012682290750049
63,20,326,San Pedro Sochiapam,1219,1219,1220,0.607482258858710,0.012974063243505
64,20,325,San Pedro Quiatoni,1220,1220,1221,0.895717205725440,0.047812664340529
65,20,323,San Pedro Ocotepec,1222,1222,1223,0.322971582435606,0.003572377049584
66,20,299,San Pablo Yaganiza,1228,1228,1229,0.279722814923115,0.003008067938197
67,20,298,San Pablo Villa de Mitla,1229,1229,1230,0.917129629165657,0.023793368040448
68,20,296,San Pablo Macuiltianguis,1230,1230,1231,0.669489770661743,0.012728358846646
69,20,288,San Miguel Yotao,1233,1233,1234,0.275410987904029,0.003332493335972
70,20,280,Villa Talea de Castro,1235,1235,1236,0.421984623738690,0.005191952355570
71,20,276,San Miguel Santa Flor,1238,1238,1239,0.214361520338116,0.001689926094586
72,20,275,San Miguel Quetzaltepec,1239,1239,1240,0.806944934458145,0.017625342413593
73,20,260,San Miguel Aloapam,1244,1244,1245,0.559315410589244,0.012086633908620
74,20,257,San Melchor Betaza,1245,1245,1246,0.290333279053955,0.002895786495473
75,20,246,San Mateo Cajonos,1248,1248,1249,0.168986992659808,0.001247195940747
76,20,232,San Lucas Ojitlan,1251,1251,1252,1.411761040774854,0.038814808283471
77,20,231,San Lucas Camotlan,1252,1252,1253,0.504661282600261,0.008618319823015
78,20,226,San Lorenzo Albarradas,1253,1253,1254,0.664874809914636,0.011400645911747
79,20,223,San Juan Yatzona,1254,1254,1255,0.233750325095063,0.002475465820747
80,20,222,San Juan Yaee,1255,1255,1256,0.264858462789063,0.003217062667376
81,20,220,San Juan Tepeuxila,1256,1256,1257,0.989167956493807,0.021734118248268
82,20,216,San Juan Tabaa,1257,1257,1258,0.196804723416033,0.001666844531937
83,20,214,San Juan Quiotepec,1258,1258,1259,1.226059434287415,0.017275152261659
84,20,212,San Juan Petlapa,1259,1259,1260,0.700711801623102,0.016019506761855
85,20,207,San Juan Mazatlan,1260,1260,1261,3.534331994832443,0.138199038231929
86,20,201,San Juan Juquila Vijanos,1263,1263,1264,0.396437394902440,0.004806533300304
87,20,200,San Juan Juquila Mixes,1264,1264,1265,0.920209826811632,0.026797301817066
88,20,196,San Juan Evangelista Analco,1265,1265,1266,0.187090316984347,0.001410916604178
89,20,194,San Juan del Rio,1266,1266,1267,0.362404824836254,0.006050590719752
90,20,190,San Juan Cotzocon,1267,1267,1268,3.279880434440880,0.117508853740125
91,20,189,San Juan Comaltepec,1268,1268,1269,0.577803414164464,0.008381447120655
92,20,187,San Juan Coatzospam,1269,1269,1270,0.460014859462053,0.005642189053890
93,20,182,San Juan Bautista Tlacoatzintepec,1271,1271,1272,0.300169278322273,0.004273932908625
94,20,179,San Juan Bautista Jayacatlan,1272,1272,1273,0.417534104642743,0.009730417023283
95,20,175,San Juan Bautista Atatlahuca,1273,1273,1274,0.946191383101902,0.035884239676688
96,20,173,San Juan Atepec,1274,1274,1275,0.618469597134208,0.011415992898603
97,20,171,San Jose Tenango,1275,1275,1276,0.792996481855059,0.022019556820449
98,20,169,San Jose Independencia,1277,1277,1278,0.374866792761152,0.004607251576998
99,20,166,San Jose Chiltepec,1278,1278,1279,0.846961549766597,0.016470176758505
100,20,136,San Felipe Usila,1281,1281,1282,1.100759029882715,0.038139242889936
101,20,134,San Felipe Jalapa de Diaz,1282,1282,1283,0.572283672805010,0.011475173889657
102,20,120,San Bartolome Zoogocho,1288,1288,1289,0.116094016317973,0.000742698352704
103,20,116,San Bartolome Ayautla,1290,1290,1291,0.453479690711469,0.004898785799292
104,20,114,San Baltazar Yatzachi el Bajo,1291,1291,1292,0.285040964475128,0.002576327694617
105,20,100,San Andres Yaa,1293,1293,1294,0.306725218513547,0.003479552613015
106,20,098,San Andres Teotilalpam,1294,1294,1295,0.915950674291819,0.012410142836730
107,20,097,San Andres Solaga,1295,1295,1296,0.379293314678719,0.004132737789622
108,20,062,Natividad,1302,1302,1303,0.065008316273749,0.000188037844542
109,20,060,Mixistlan de la Reforma,1304,1304,1305,0.448723999151363,0.005750293400637
110,20,058,Mazatlan Villa de Flores,1319,1319,1320,0.673058533920105,0.015545802197248
111,20,029,Eloxochitlan de Flores Magon,1329,1329,1330,0.325350370545034,0.003058914101840
112,20,024,Cuyamecalco Villa de Zaragoza,1331,1331,1332,0.366486205186029,0.006748408086002
113,20,527,Santos Reyes Papalo,1352,1352,1353,0.428966299910375,0.007108401418979
114,20,490,Santiago Texcalcingo,1368,1368,1369,0.177775671207663,0.001418053566260
115,20,035,Guelatao de Juarez,1407,1407,1408,0.100343776421800,0.000383115692353
116,20,560,Villa Diaz Ordaz,1422,1422,1423,0.816132692974701,0.024048332392431
117,20,544,Teococuilco de Marcos Perez,1424,1424,1425,0.619600590729904,0.011313296524404
118,20,519,Santo Domingo Tomaltepec,1426,1426,1427,0.271812004199132,0.002592690482547
119,20,504,Nuevo Zoquiapam,1427,1427,1428,0.432375404713963,0.008552586004226
120,20,496,Santiago Xiacui,1428,1428,1429,0.344897190089316,0.005380079198081
121,20,443,Santa Maria Yavesia,1431,1431,1432,0.418134555099326,0.007441453798768
122,20,419,Santa Maria Jaltianguis,1432,1432,1433,0.362496287472905,0.004582494897034
123,20,365,Santa Catarina Lachatao,1446,1446,1447,0.513117495447485,0.008586617849005
124,20,363,Santa Catarina Ixtepeji,1447,1447,1448,0.653012323019380,0.018694768800639
125,20,356,Santa Ana del Valle,1449,1449,1450,0.201304075446767,0.002365748874121
126,20,293,San Pablo Etla,1457,1457,1458,0.492143480665600,0.003767930855035
127,20,267,San Miguel del Rio,1459,1459,1460,0.141830867170497,0.000904803283513
128,20,262,San Miguel Amatlan,1460,1460,1461,0.610837189083588,0.005168617553277
129,20,247,Capulalpam de Mendez,1461,1461,1462,0.307659942172152,0.003158018647188
130,20,191,San Juan Chicomezuchil,1467,1467,1468,0.231877792352290,0.001732031867466
131,20,178,San Juan Bautista Guelache,1468,1468,1469,0.310417758251607,0.004428053028481
132,20,084,San Agustin Etla,1474,1474,1475,0.344703891303298,0.004683808610409
133,20,294,San Pablo Huitzo,1492,1492,1493,0.566115979982920,0.008626167206204
134,20,193,San Juan del Estado,1494,1494,1495,0.489221405301811,0.011224915056703
135,20,553,Tlalixtac de Cabrera,1498,1498,1499,0.525953425968742,0.006921295682961
136,20,091,San Andres Huayapam,1499,1499,1500,0.229453207972069,0.002341531464388
137,20,546,Teotitlan del Valle,1503,1503,1504,0.535073793082044,0.009155835884590
138,20,427,Santa Maria Petapa,1530,1530,1531,1.083821111690084,0.013206696594442
139,20,470,Santiago Lachiguiri,1538,1538,1539,1.815778176577571,0.036697510581941
140,20,205,San Juan Lalana,1539,1539,1540,2.462684812281672,0.059050150044519
141,20,042,Ixtlan de Juarez,1540,1540,1541,1.967178724410782,0.047837046008325
142,20,460,Santiago Choapam,1552,1552,1553,1.431084291469089,0.026449697638285
143,20,198,San Juan Guichicovi,1553,1553,1554,2.659699915075651,0.067647190297082
144,20,036,Guevea de Humboldt,1557,1557,1558,0.950002513253931,0.023816356763367
145,21,036,Coyomeapan,1590,1590,1591,0.990717673121949,0.019542078877390
146,21,046,Chapulco,1600,1600,1601,0.707088954670884,0.007461821013916
147,21,061,Eloxochitlan,1611,1611,1612,0.534226255826169,0.008519071592933
148,21,099,Cañada Morelos,1641,1641,1642,1.011857144345359,0.020955046253235
149,21,103,Nicolas Bravo,1644,1644,1645,0.740744257686333,0.009280939312265
150,21,120,San Antonio Cañada,1655,1655,1656,0.496969989787282,0.006847633670440
151,21,145,San Sebastian Tlacotepec,1677,1677,1678,1.069007708145011,0.020240928748433
152,21,195,Vicente Guerrero,1718,1718,1719,1.160148946801695,0.022356872525802
153,21,035,Coxcatlan,1747,1747,1748,0.927936895756067,0.021296563180671
154,21,010,Ajalpan,1761,1761,1762,1.394240373133958,0.033682247680997
155,21,217,Zoquitlan,1773,1773,1774,1.141388824147387,0.023019934110192
156,30,006,Acultzingo,2077,2077,2078,0.731566590623583,0.014467711697002
157,30,018,Aquila,2089,2089,2090,0.197884635153533,0.001772850180132
158,30,019,Astacinga,2090,2090,2091,0.279099093417190,0.002553521112198
159,30,020,Atlahuilco,2091,2091,2092,0.543011910657904,0.005325723219667
160,30,030,Camerino Z. Mendoza,2101,2101,2102,0.259507513507036,0.001791283205455
161,30,041,Coetzala,2112,2112,2113,0.141472433983096,0.000808935260759
162,30,074,Huiloapan de Cuauhtemoc,2145,2145,2146,0.208754174997029,0.001604601831691
163,30,098,Magdalena,2169,2169,2170,0.164563204146387,0.001179559000606
164,30,099,Maltrata,2170,2170,2171,0.664323674830059,0.009479577404435
165,30,110,Mixtla de Altamirano,2181,2181,2182,0.526049328740641,0.005692962313604
166,30,113,Naranjal,2184,2184,2185,0.200957284407347,0.001593094318547
167,30,137,Los Reyes,2208,2208,2209,0.378517311705660,0.002929185367782
168,30,140,San Andres Tenejapan,2211,2211,2212,0.207688043761272,0.001876943369716
169,30,147,Soledad Atzompa,2218,2218,2219,0.710726000636339,0.009826984932556
170,30,159,Tehuipango,2230,2230,2231,0.457985444784860,0.007523592102037
171,30,168,Tequila,2239,2239,2240,0.716072351608395,0.008566949637672
172,30,171,Texhuacan,2242,2242,2243,0.375945839509436,0.003653280171631
173,30,173,Tezonapa,2244,2244,2245,1.765084616267862,0.044722325422951
174,30,184,Tlaquilpa,2255,2255,2256,0.344764470437126,0.004828231105483
175,30,185,Tlilapan,2256,2256,2257,0.235363713816378,0.000960889501242
176,30,195,Xoxocotla,2266,2266,2267,0.375836102880317,0.003197992168564
177,30,201,Zongolica,2272,2272,2273,1.383506240396667,0.024197371400166
