,Conglomerado,Anio,Estado,Municipio,Causa,ImpactoVegetacion,ImpactoSuelo,ImpactoAgua,Observaciones
1,47328,2009,Veracruz de Ignacio de la Llave,Panuco,Uso del suelo diferente al forestal,Mayor,Mayor,Mayor,Pastizal inducido
2,47328,2009,Veracruz de Ignacio de la Llave,Panuco,Pastoreo,Mediana,Mayor,No perceptible,Ganado vacuno
3,49056,2009,Veracruz de Ignacio de la Llave,Tempoal,Pastoreo,Mayor,Menor,No perceptible,Ganado bovino
4,49538,2009,Veracruz de Ignacio de la Llave,Tamalin,Uso del suelo diferente al forestal,Mayor,Menor,No perceptible,Pastizal
5,49538,2009,Veracruz de Ignacio de la Llave,Tamalin,Incendios,Menor,No perceptible,No perceptible,Quemas
6,49538,2009,Veracruz de Ignacio de la Llave,Tamalin,Pastoreo,Mayor,Menor,No perceptible,Bovino
7,49750,2009,Veracruz de Ignacio de la Llave,Tempoal,Apertura de caminos,Mediana,Menor,Menor,Brecha
8,49750,2009,Veracruz de Ignacio de la Llave,Tempoal,Uso del suelo diferente al forestal,Mayor,Mayor,Menor,"Pastoreo, Siembra de pasto"
9,49750,2009,Veracruz de Ignacio de la Llave,Tempoal,Incendios,Mayor,Mediana,Menor,Quema agropecuaria
10,49750,2009,Veracruz de Ignacio de la Llave,Tempoal,Pastoreo,Mayor,Mediana,Menor,Ganado vacuno
11,49750,2009,Veracruz de Ignacio de la Llave,Tempoal,Plagas y enfermedades,Menor,No perceptible,No perceptible,Insectos
12,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Apertura de caminos,Menor,Menor,No perceptible,Brecha y veredas
13,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Aprovechamientos forestales,Menor,Menor,No perceptible,Extracción de leña
14,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Asentamientos humanos,Menor,Menor,No perceptible,Casas
15,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Uso del suelo diferente al forestal,Menor,Menor,No perceptible,Cultivo temporal
16,49755,2009,Veracruz de Ignacio de la Llave,Tantoyuca,Incendios,Menor,No perceptible,No perceptible,Quema agropecuaria
