site,SUBREGIONE
"64174",Huautla_Zongolica
"64443",Huautla_Zongolica
"64444",Huautla_Zongolica
"65268",Huautla_Zongolica
"65558",Huautla_Zongolica
"65559",Huautla_Zongolica
"65848",Huautla_Zongolica
"66139",Huautla_Zongolica
"66722",Huautla_Zongolica
"67878",Huautla_Zongolica
"67879",Huautla_Zongolica
"67882",Huautla_Zongolica
"67883",Huautla_Zongolica
"68142",Huautla_Zongolica
"68146",Huautla_Zongolica
"68398",Huautla_Zongolica
"64985",Huautla_Zongolica
"64987",Huautla_Zongolica
"66428",Huautla_Zongolica
"66429",Huautla_Zongolica
"66432",Huautla_Zongolica
"67308",Huautla_Zongolica
"67311",Huautla_Zongolica
"67604",Huautla_Zongolica
"68147",Huautla_Zongolica
"68148",Huautla_Zongolica
"68397",Huautla_Zongolica
"68399",Huautla_Zongolica
"68400",Huautla_Zongolica
"68901",Huautla_Zongolica
"68902",Huautla_Zongolica
