"";"site";"subregion";"municipality";"mun_id";"year";"date";"dec_date";"state";"state_id";"land_tenure";"longitude";"latitude";"temp";"precip";"altitude";"average_slope";"landform";"aspect";"aspect_gee";"aspect_gee_c";"aspect_se_gee";"slope_gee";"slope_se_gee";"primary_veg";"sec_veg";"plot_no";"tree_no_ave";"av_basalarea_site";"se_basalarea_site";"av_treeheight_site";"se_treeheight_site";"av_loreys_site";"se_loreys_site";"av_treedensity_site";"se_treedensity_site";"av_agb_site";"se_agb_site";"shannon";"simpson";"shannon_av_site";"shannon_se_site";"simpson_av_site";"simpson_se_site";"sp_richness_site";"sp_richness_site_av";"sp_richness_site_se";"sp_richness_site_sd";"agriculture";"grazing";"mosaic";"landscape"
"1";"65558";"Huautla_Zongolica";"Eloxochitlan";61;2011;2011-03-22;2011,21917808219;"Puebla";21;"Propiedad Particular";-96,92972156;18,52197156;20,658332824707;2089;1347;40;"Ladera";"Norte";175,61731375;"S";27,8027925961838;30,41567925;2,81328866707792;"BM";"VSna";4;6,5;5,21134257380606;1,75946122848004;5,41201298701299;1,99042441039643;6,5220525507633;2,32947265855955;162,5;58,1843335157039;19,8910617939481;3,26781719129198;1,86474640497183;0,813609467455621;0,99860942941337;0,365809330014693;0,504507769016698;0,177120809111942;8;3,5;1,25830573921179;2,51661147842358;3;0;0;1
"2";"65559";"Huautla_Zongolica";"Eloxochitlan";61;2012;2012-03-06;2012,17759562842;"Puebla";21;"Ejidal";-96,88397189;18,519416;21,970832824707;2341;1051;35;"Ladera";"Suroeste";181,6096975;"S";12,3550187577521;33,5877185;1,95221654952883;"SAP";"VSA";4;7,75;6,88826732326787;2,78573786768904;6,99602564102564;1,10181221381124;8,86774266491008;1,83044597993943;193,75;71,7163103252438;21,9825541279371;4,16112205553895;1,87443721834173;0,815816857440167;0,964903823548829;0,357756794902413;0,50706936226167;0,176362011362296;8;3,5;1,04083299973307;2,08166599946613;2;0;0;1
"3";"67879";"Huautla_Zongolica";"San Jeronimo Tecoatl";163;2010;2010-08-10;2010,60547945205;"Oaxaca";20;"Comunal";-96,94305522;18,16002778;15,4375;1595;2089;40;"Ladera";"Este";203,858655;"S";6,43369927845106;23,7596045;2,37913937126777;"BM";"VSA";4;18,5;4,9852626625;2,43343795901914;5,64560276679842;0,559400942715699;5,92675664338318;0,684318042858342;462,5;255,868618630734;24,4465088426886;1,30031352305866;0,855323514034148;0,489773557341125;0,33990976892189;0,213039810307363;0,191955584370948;0,127587164889168;5;2;0,408248290463863;0,816496580927726;0;2;0,125;0,875
"4";"71429";"Sierra Mixe";"San Ildefonso Villa Alta";156;2012;2012-04-12;2012,27868852459;"Oaxaca";20;"Comunal";-96,16833267;17,45327778;21,404167175293;2539;1080;25;"Ladera";"Noroeste";177,82445085;"S";88,185319567455;14,19270375;1,92265851751602;"BM";"VSaa";4;3,25;5,20855481875;0,816855828441726;7,76833333333333;0,504317470559083;8,3498774286683;0,315566350735071;81,25;15,7288217401474;8,50650854682482;3,68128631095238;1,07201696856319;0,568047337278107;0,443357690031953;0,151228026811911;0,302222222222222;0,104924036797782;4;1,75;0,25;0,5;4;0;0;1
"5";"71856";"Sierra Mixe";"Villa Talea de Castro";280;2012;2012-07-26;2012,56557377049;"Oaxaca";20;"Comunal";-96,219166;17,365;21,6291675567627;2267;1184;88;"Ladera";"Este";102,15350075;"W";54,3220891329479;27,18972725;4,95973477645941;"BQP";"VSA";4;24,75;24,0645529375;1,7558211062909;7,98417077175698;0,326079346424509;9,12596969103052;0,202868963045223;618,75;41,3004741699979;193,690201742186;4,7639745181332;0,828609820978518;0,3954;0,636811614836851;0,206204797455739;0,336088485346119;0,108699165507959;7;3,25;0,629152869605896;1,25830573921179;0;2;0,5;0,5
"6";"72073";"Sierra Mixe";"Totontepec Villa de Morelos";554;2009;2009-08-08;2009,6;"Oaxaca";20;"Comunal";-96,030916;17,31336111;18,3958339691162;3006;1403;70;"Ladera";"Sur";210,5368;"S";39,412896485345;22,3124645;7,15028557892716;"BM";"VSA";4;8,5;2,26021426875;0,645439790659155;6,83498376623377;0,654871315341781;7,62877444284412;1,0373639895076;212,5;69,5970545353753;8,26671857102294;1,02929290554381;1,35884315125816;0,641868512110727;0,791486189997733;0,288269928998265;0,436813490892225;0,164684001464314;6;3;0,707106781186548;1,4142135623731;3;0;0;1
"7";"72496";"Sierra Mixe";"Totontepec Villa de Morelos";554;2009;2009-07-20;2009,54794520548;"Oaxaca";20;"Comunal";-96,08419411;17,22424933;16,5375003814697;1818;1868;70;"Ladera";"Oeste";211,25395;"S";7,5822283505961;33,95841825;4,46857258818991;"BM";"VSn";4;48;35,69842285625;7,02855586112113;12,4991892478057;1,01577350592766;14,6875087242517;1,50856347902538;1200;339,576942680153;318,866587911249;12,1017345179189;0,773894447222528;0,414171006944444;0,461438146893846;0,249741413242439;0,250968421757813;0,132512724069569;6;2,75;1,10867789130417;2,21735578260835;0;2;0,625;0,375
"8";"72926";"Sierra Mixe";"Santa Maria Alotepec";394;2010;2010-07-02;2010,49863013699;"Oaxaca";20;"Comunal";-95,85338889;17,12444378;21,341667175293;2547;1226;30;"Ladera";"Sureste";73,534478;"W";14,0484401854127;47,5730125;1,26671107789599;"BM";"VSA";4;10,25;8,44405134375;1,24145629575887;10,1934523809524;0,579622245327861;14,9830246302234;1,17683386892519;256,25;41,3004741699979;60,562888868016;9,47771079594773;1,38867578494078;0,699583581201666;0,909590059836075;0,180178557118479;0,517237103174603;0,0957707195097967;6;3,25;0,478713553878169;0,957427107756338;2;0;0;1
"9";"73137";"Sierra Mixe";"Santiago Atitlan";454;2012;2012-07-30;2012,57650273224;"Oaxaca";20;"Comunal";-95,90541667;17,07986044;18,7333335876465;2063;1505;35;"Ladera";"Oeste";83,02266425;"W";35,1263427546636;42,055091;3,85622680014443;"BQ";"VSna";4;15,5;7,31555421875;2,56296301464659;4,94151785714286;1,64835025218863;5,93949246723621;1,99564168214692;387,5;141,972708645007;38,601727636448;2,44113189008162;1,1378366187655;0,661290322580645;0,772658741527105;0,262150680851423;0,451282596371882;0,153385239112705;4;2,5;0,866025403784439;1,73205080756888;3;0;0;1
"10";"73348";"Sierra Mixe";"Asuncion Cacalotepec";3;2010;2010-07-23;2010,55616438356;"Oaxaca";20;"Comunal";-95,90416667;17,03613856;20,3333339691162;2035;1600;50;"Ladera";"Este";249,2840075;"S";23,6392692962717;24,54350425;2,80318498692518;"BM";"VSaa";4;13;9,29590608125;3,26031938438464;6,88443813131313;1,35422325446563;8,68483587259665;2,17584478622115;325;119,460593223595;36,9900869547789;5,38274142615804;1,68654560545996;0,719478737997256;0,898571069080633;0,38581972691175;0,428169354884422;0,175808980046707;10;4;1,22474487139159;2,44948974278318;2;0;0;1
