"","site","longitude","latitude"
"1","65558",-96.92972156,18.52197156
"2","65559",-96.88397189,18.519416
"3","67879",-96.94305522,18.16002778
"4","71429",-96.16833267,17.45327778
"5","71856",-96.219166,17.365
"6","72073",-96.030916,17.31336111
"7","72496",-96.08419411,17.22424933
"8","72926",-95.85338889,17.12444378
"9","73137",-95.90541667,17.07986044
"10","73348",-95.90416667,17.03613856
"11","73353",-95.66997156,17.02638822
"12","73556",-96,16.99469411
"13","73768",-95.81447222,16.94194411
"14","64985",-97.021416,18.61555556
"15","64987",-96.92638822,18.61211111
"16","66428",-96.98222156,18.38777744
"17","67308",-96.93972189,18.25055556
"18","67311",-96.79774967,18.245583
"19","67604",-96.79972189,18.20052778
"20","68399",-96.75744444,18.06333333
"21","68901",-96.66674933,17.96947156
"22","69612",-96.81341667,17.83891633
"23","69842",-96.76780489,17.79219411
"24","70072",-96.72252711,17.74527744
"25","70073",-96.67527711,17.74361078
"26","70302",-96.63005489,17.69686078
"27","70531",-96.53747189,17.648333
"28","70980",-96.729416,17.56472222
"29","71424",-96.40366667,17.46241667
"30","71637",-96.44955522,17.41719378
"31","71643",-96.17027711,17.40836111
"32","71851",-96.45436111,17.37413822
"33","72072",-96.08219378,17.31583333
"34","72077",-95.84527744,17.30475
"35","72279",-96.31711044,17.27908267
"36","72285",-96.03527744,17.26722156
"37","72714",-95.80447222,17.16749933
"38","72923",-95.99416633,17.12997156
"39","72924",-95.94688856,17.12527711
"40","73976",-95.72327711,16.893833
